n,S,hybrid_comparisons,hybrid_time,merge_comparisons,merge_time
1000,16,10342,0.000025,8700,0.000032
2000,16,22684,0.000055,19387,0.000070
5000,16,58473,0.000164,55233,0.000195
10000,16,126978,0.000368,120466,0.000437
20000,16,273783,0.000806,261052,0.000934
50000,16,770323,0.002222,718208,0.002574
100000,16,1639740,0.004784,1536422,0.005454
200000,16,3480058,0.010205,3272450,0.011560
500000,16,9609856,0.027123,8836124,0.030865
1000000,16,20224535,0.057331,18673107,0.065137
2000000,16,42442341,0.125321,39349937,0.139302
5000000,16,108206463,0.347068,105051930,0.377803
10000000,16,226416986,0.719152,220102645,0.781671
