n,S,comparisons,time
1000,1,8661,0.000033
1000,2,8661,0.000031
1000,3,8663,0.000030
1000,4,8736,0.000029
1000,5,8736,0.000029
1000,6,8736,0.000028
1000,7,8768,0.000029
1000,8,9015,0.000028
1000,9,9015,0.000028
1000,10,9015,0.000027
1000,12,9015,0.000027
1000,14,9015,0.000028
1000,16,10100,0.000025
1000,20,10100,0.000025
1000,24,10100,0.000025
1000,28,10100,0.000025
1000,32,13054,0.000024
1000,40,13054,0.000024
1000,48,13054,0.000023
1000,64,19746,0.000023
1000,80,19746,0.000022
1000,96,19746,0.000022
1000,112,19746,0.000022
1000,128,33978,0.000022
1000,160,33978,0.000022
1000,192,33978,0.000023
1000,224,33978,0.000022
1000,256,63432,0.000026
1000,320,63432,0.000025
1000,384,63432,0.000025
1000,448,63432,0.000026
1000,512,125250,0.000036
10000,1,120427,0.000428
10000,2,120427,0.000415
10000,3,120434,0.000400
10000,4,120481,0.000395
10000,5,121506,0.000383
10000,6,121506,0.000381
10000,7,121506,0.000381
10000,8,121506,0.000382
10000,9,122593,0.000383
10000,10,127271,0.000364
10000,12,127271,0.000368
10000,14,127271,0.000371
10000,16,127271,0.000372
10000,20,143916,0.000356
10000,24,143916,0.000345
10000,28,143916,0.000345
10000,32,143916,0.000342
10000,40,183902,0.000336
10000,48,183902,0.000339
10000,64,183902,0.000332
10000,80,273604,0.000312
10000,96,273604,0.000315
10000,112,273604,0.000313
10000,128,273604,0.000314
10000,160,458292,0.000322
10000,192,458292,0.000323
10000,224,458292,0.000322
10000,256,458292,0.000335
10000,320,847022,0.000390
10000,384,847022,0.000387
10000,448,847022,0.000383
10000,512,847022,0.000384
100000,1,1536459,0.005671
100000,2,1536459,0.005446
100000,3,1536646,0.005225
100000,4,1537010,0.005205
100000,5,1537010,0.005214
100000,6,1554493,0.005074
100000,7,1557701,0.005023
100000,8,1557701,0.004963
100000,9,1557701,0.004959
100000,10,1557701,0.004950
100000,12,1619126,0.004951
100000,14,1638751,0.004940
100000,16,1638751,0.004935
100000,20,1638751,0.005019
100000,24,1764846,0.004745
100000,28,1861811,0.004677
100000,32,1861811,0.004688
100000,40,1861811,0.004696
100000,48,1948525,0.004656
100000,64,2382165,0.004556
100000,80,2382165,0.004564
100000,96,2382165,0.004567
100000,112,3511103,0.004416
100000,128,3511103,0.004395
100000,160,3511103,0.004412
100000,192,3511103,0.004457
100000,224,5873769,0.004565
100000,256,5873769,0.004546
100000,320,5873769,0.004606
100000,384,5873769,0.004586
100000,448,10678151,0.005239
100000,512,10678151,0.005257
1000000,1,18675389,0.066026
1000000,2,18675389,0.064268
1000000,3,18675276,0.064390
1000000,4,18728847,0.063576
1000000,5,18728847,0.062734
1000000,6,18728847,0.062798
1000000,7,18820322,0.062163
1000000,8,19069993,0.061026
1000000,9,19069993,0.062008
1000000,10,19069993,0.061349
1000000,12,19069993,0.061026
1000000,14,19069993,0.060341
1000000,16,20220637,0.058889
1000000,20,20220637,0.058859
1000000,24,20220637,0.058699
1000000,28,20220637,0.058515
1000000,32,23186046,0.057337
1000000,40,23186046,0.057574
1000000,48,23186046,0.057740
1000000,64,29892460,0.056228
1000000,80,29892460,0.055989
1000000,96,29892460,0.055968
1000000,112,29892460,0.055940
1000000,128,44152222,0.055561
1000000,160,44152222,0.056214
1000000,192,44152222,0.055438
1000000,224,44152222,0.055763
1000000,256,73623131,0.058590
1000000,320,73623131,0.058910
1000000,384,73623131,0.058572
1000000,448,73623131,0.058523
1000000,512,133791167,0.067345
10000000,1,220097991,0.781138
10000000,2,220097991,0.762619
10000000,3,220097839,0.751924
10000000,4,220219505,0.749989
10000000,5,221105205,0.738441
10000000,6,221105205,0.739691
10000000,7,221105205,0.736780
10000000,8,221105205,0.738741
10000000,9,223148255,0.726937
10000000,10,226416725,0.716100
10000000,12,226416725,0.719550
10000000,14,226416725,0.719892
10000000,16,226416725,0.714524
10000000,20,242314740,0.697943
10000000,24,242314740,0.696665
10000000,28,242314740,0.694317
10000000,32,242314740,0.696236
10000000,40,281246688,0.683080
10000000,48,281246688,0.684903
10000000,64,281246688,0.683233
10000000,80,367351418,0.665431
10000000,96,367351418,0.670070
10000000,112,367351418,0.669789
10000000,128,367351418,0.666411
10000000,160,548563660,0.676897
10000000,192,548563660,0.676812
10000000,224,548563660,0.678635
10000000,256,548563660,0.678745
10000000,320,920413205,0.718873
10000000,384,920413205,0.719805
10000000,448,920413205,0.720612
10000000,512,920413205,0.720397
