algorithm,n,S,trial,comparisons,cpu_time
hybrid,10000000,20,1,242331864,0.692117
hybrid,10000000,20,2,242311148,0.692498
hybrid,10000000,20,3,242313010,0.697624
hybrid,10000000,20,4,242302979,0.691506
hybrid,10000000,20,5,242319976,0.693027
mergesort,10000000,0,1,220102188,0.774499
mergesort,10000000,0,2,220096231,0.769894
mergesort,10000000,0,3,220100657,0.774640
mergesort,10000000,0,4,220101476,0.774098
mergesort,10000000,0,5,220094091,0.773869
hybrid,10000000,32,1,242331864,0.695661
hybrid,10000000,32,2,242311148,0.691765
hybrid,10000000,32,3,242313010,0.692100
hybrid,10000000,32,4,242302979,0.691599
hybrid,10000000,32,5,242319976,0.692669
mergesort,10000000,0,1,220102188,0.773598
mergesort,10000000,0,2,220096231,0.772446
mergesort,10000000,0,3,220100657,0.772795
mergesort,10000000,0,4,220101476,0.774492
mergesort,10000000,0,5,220094091,0.773916
hybrid,10000000,64,1,281256236,0.696255
hybrid,10000000,64,2,281259863,0.680767
hybrid,10000000,64,3,281286518,0.680342
hybrid,10000000,64,4,281223889,0.681354
hybrid,10000000,64,5,281248417,0.677655
mergesort,10000000,0,1,220102188,0.770157
mergesort,10000000,0,2,220096231,0.772370
mergesort,10000000,0,3,220100657,0.772605
mergesort,10000000,0,4,220101476,0.772785
mergesort,10000000,0,5,220094091,0.772798
hybrid,10000000,96,1,367314546,0.673805
hybrid,10000000,96,2,367395298,0.671556
hybrid,10000000,96,3,367385515,0.665468
hybrid,10000000,96,4,367302384,0.671544
hybrid,10000000,96,5,367357997,0.667852
mergesort,10000000,0,1,220102188,0.776748
mergesort,10000000,0,2,220096231,0.781881
mergesort,10000000,0,3,220100657,0.775304
mergesort,10000000,0,4,220101476,0.774964
mergesort,10000000,0,5,220094091,0.783043
hybrid,10000000,128,1,367314546,0.673389
hybrid,10000000,128,2,367395298,0.666593
hybrid,10000000,128,3,367385515,0.667968
hybrid,10000000,128,4,367302384,0.668651
hybrid,10000000,128,5,367357997,0.673004
mergesort,10000000,0,1,220102188,0.778464
mergesort,10000000,0,2,220096231,0.780843
mergesort,10000000,0,3,220100657,0.783889
mergesort,10000000,0,4,220101476,0.777275
mergesort,10000000,0,5,220094091,0.776385
