n,S,trial,comparisons,time
10000000,1,1,220101264,0.799915
10000000,1,2,220100139,0.775376
10000000,1,3,220098701,0.762905
10000000,1,4,220100197,0.768527
10000000,1,5,220099932,0.771825
10000000,8,1,221107333,0.745984
10000000,8,2,221110015,0.738555
10000000,8,3,221106843,0.742951
10000000,8,4,221106268,0.741921
10000000,8,5,221105943,0.741231
10000000,12,1,226414726,0.721129
10000000,12,2,226410732,0.720651
10000000,12,3,226418203,0.721217
10000000,12,4,226413715,0.720684
10000000,12,5,226416387,0.722547
10000000,16,1,226414726,0.722720
10000000,16,2,226410732,0.726171
10000000,16,3,226418203,0.723557
10000000,16,4,226413715,0.725230
10000000,16,5,226416387,0.722663
10000000,20,1,242315299,0.700976
10000000,20,2,242299070,0.702524
10000000,20,3,242315890,0.703006
10000000,20,4,242288317,0.703763
10000000,20,5,242307624,0.708444
10000000,24,1,242315299,0.701655
10000000,24,2,242299070,0.700371
10000000,24,3,242315890,0.700136
10000000,24,4,242288317,0.700103
10000000,24,5,242307624,0.696894
10000000,28,1,242315299,0.699634
10000000,28,2,242299070,0.700347
10000000,28,3,242315890,0.700183
10000000,28,4,242288317,0.703491
10000000,28,5,242307624,0.700681
10000000,32,1,242315299,0.702240
10000000,32,2,242299070,0.701354
10000000,32,3,242315890,0.697324
10000000,32,4,242288317,0.699826
10000000,32,5,242307624,0.705647
10000000,40,1,281240303,0.691008
10000000,40,2,281217985,0.688847
10000000,40,3,281268205,0.692394
10000000,40,4,281267604,0.689141
10000000,40,5,281246380,0.692929
10000000,48,1,281240303,0.691097
10000000,48,2,281217985,0.699254
10000000,48,3,281268205,0.691637
10000000,48,4,281267604,0.691814
10000000,48,5,281246380,0.690007
10000000,64,1,281240303,0.691417
10000000,64,2,281217985,0.694921
10000000,64,3,281268205,0.687958
10000000,64,4,281267604,0.687784
10000000,64,5,281246380,0.688604
10000000,80,1,367346770,0.672669
10000000,80,2,367279772,0.674881
10000000,80,3,367378135,0.675608
10000000,80,4,367314766,0.670502
10000000,80,5,367340257,0.670806
10000000,96,1,367346770,0.676327
10000000,96,2,367279772,0.673877
10000000,96,3,367378135,0.670861
10000000,96,4,367314766,0.670552
10000000,96,5,367340257,0.670256
10000000,128,1,367346770,0.680434
10000000,128,2,367279772,0.674291
10000000,128,3,367378135,0.670098
10000000,128,4,367314766,0.670374
10000000,128,5,367340257,0.674840
10000000,160,1,548505585,0.680733
10000000,160,2,548512205,0.677431
10000000,160,3,548481412,0.679824
10000000,160,4,548512119,0.679999
10000000,160,5,548428511,0.678155
10000000,192,1,548505585,0.680659
10000000,192,2,548512205,0.678425
10000000,192,3,548481412,0.678205
10000000,192,4,548512119,0.679555
10000000,192,5,548428511,0.682608
10000000,256,1,548505585,0.677958
10000000,256,2,548512205,0.684803
10000000,256,3,548481412,0.678582
10000000,256,4,548512119,0.680698
10000000,256,5,548428511,0.680752
10000000,384,1,920424252,0.721243
10000000,384,2,920297658,0.727366
10000000,384,3,920187698,0.722855
10000000,384,4,920367452,0.721285
10000000,384,5,919795786,0.720391
10000000,512,1,920424252,0.724539
10000000,512,2,920297658,0.719920
10000000,512,3,920187698,0.724095
10000000,512,4,920367452,0.721315
10000000,512,5,919795786,0.720997
