m,insertion_avg,mergesort_avg,quarter_m2
1,0.0000,0.0000,0.2500
2,1.0000,1.0000,1.0000
3,2.6691,2.6661,2.2500
4,4.9146,4.6652,4.0000
5,7.7232,7.1637,6.2500
6,11.0485,9.8341,9.0000
7,14.9174,12.7280,12.2500
8,19.2833,15.7302,16.0000
9,24.1684,19.1669,20.2500
10,29.5691,22.6648,25.0000
11,35.4886,26.2818,30.2500
12,41.8604,29.9456,36.0000
13,48.8282,33.8093,42.2500
14,56.2360,37.7139,49.0000
15,64.2106,41.6872,56.2500
16,72.6120,45.6816,64.0000
17,81.5675,50.1022,72.2500
18,91.0649,54.5376,81.0000
19,100.9369,59.0231,90.2500
20,111.3509,63.5042,100.0000
21,122.2927,68.1246,110.2500
22,133.8540,72.7372,121.0000
23,145.9446,77.3920,132.2500
24,158.2117,82.0842,144.0000
25,171.2344,86.9067,156.2500
26,184.6482,91.7614,169.0000
27,198.6642,96.6697,182.2500
28,213.2010,101.5546,196.0000
29,227.8663,106.5354,210.2500
30,243.6653,111.4954,225.0000
31,259.5655,116.4871,240.2500
32,276.0373,121.4882,256.0000
33,293.0711,126.8848,272.2500
34,310.3919,132.3215,289.0000
35,328.4376,137.7275,306.2500
36,346.7814,143.1726,324.0000
37,365.5949,148.6533,342.2500
38,385.1071,154.1125,361.0000
39,405.1240,159.5995,380.2500
40,425.8584,165.1151,400.0000
